Nama,karbohidrat,protein,kalori,lemak,energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,kategori makanan,label
Sushi dengan Sayuran dan Seafood,27.5,5.37,139,0.41,582,0.1,7,1.1,5.65,216,132,campuran,makanan low-fat
Sushi dengan Sayuran,31.68,3.08,145,0.28,607,0.07,0,1.3,6.53,237,100,campuran,makanan low-fat
Sashimi Salmon,0,21.62,146,5.93,611,1.26,45,0,0,46,423,hewani,makanan pembentuk otot
Sushi dengan Sayuran yang Digulung dengan Rumput Laut,25.8,2.21,118,0.24,494,0.06,0,0.5,4.47,98,60,campuran,makanan low-fat
Salad Tuna dengan Keju,6.87,14.44,217,14.72,908,3.66,29,0.4,3.34,500,179,campuran,makanan pembentuk otot
Salad Tuna dengan Telur,6.26,13.71,196,12.93,820,2.19,64,0.4,2.73,365,162,campuran,makanan pembentuk otot
Salad Tuna,6.96,14.27,184,11.02,770,1.74,21,0.4,3,388,171,campuran,makanan low-fat
Salad Sayuran Hijau Campur,3.2,1.52,17,0.24,71,0.04,0,2,0.88,29,291,nabati,makanan low-fat
Salad Kentang,11.17,2.68,143,8.2,598,1.43,68,1.3,1.72,529,254,nabati,makanan low-fat
Salad Kentang dengan Telur,15.96,2.77,136,7.05,569,1.24,46,1.5,1.64,488,295,campuran,makanan low-fat
Nachos dengan Keju,32.15,8.05,306,16.77,1280,6.88,16,2.37,1.79,722,152,nabati,makanan ringan
Nachos dengan Ayam atau Kalkun dan Keju,12.07,23.21,286,15.94,1197,6.49,73,1,0.3,263,167,campuran,makanan ringan
Nachos dengan Daging Sapi dan Keju,13.42,22.22,352,23.15,1473,9.8,75,1.1,0.34,297,259,campuran,makanan ringan
Nachos dengan Daging Sapi. Kacang-kacangan dan Keju,18.57,14.3,275,16.18,1151,6.62,42,3.6,0.53,331,264,campuran,makanan ringan
Nachos dengan Daging Sapi. Kacang-kacangan. Keju dan Krim Asam,25.03,10.9,290,16.81,1213,5.99,31,3.3,0.85,302,235,campuran,makanan ringan
Telur Dadar,0.69,10.62,153,12.02,640,3.36,356,0,0.65,161,114,hewani,makanan pembentuk otot
Telur Ceplok,0.88,13.63,201,15.31,841,4.29,457,0,0.83,204,147,hewani,makanan pembentuk otot
Telur Rebus,1.12,12.53,154,10.57,644,3.25,422,0,1.12,278,126,hewani,makanan pembentuk otot
Onion Rings,37.74,4.46,332,18.69,1389,8.38,17,2.2,4.18,518,156,nabati,makanan ringan
Kentang Panggang (Kulit Dimakan),20.53,2.43,109,2.2,456,0.42,0,2.1,1.14,235,519,nabati,makanan energi
Pancake Kentang,27.9,6.06,269,14.75,1125,2.49,95,3.2,1.8,764,622,nabati,makanan energi
Kerupuk Udang,50.08,6.66,541,35.19,2264,9.06,81,0.5,1.89,1364,32,hewani,makanan ringan
Cimol,41.35,0.97,222,5.22,931,1.39,2.94,29,0.4,0.05,190,nabati,makanan ringan
Keripik Pisang,58.4,2.3,519,33.6,2171,28.97,0,7.7,35.34,6,536,nabati,makanan ringan
Bakpia,47.68,9.61,299,7.91,1249,0.95,23,4.8,11.24,118,344,nabati,makanan ringan
Siomay,16.3,12.26,138,2.29,577,0.58,43,0.8,0.25,352,251,campuran,makanan pembentuk otot
Pai Apel,37.1,2.4,265,12.5,1109,3.05,0,1.5,12.58,211,79,campuran,makanan ringan
Brownies,62.54,4.76,379,13.77,1586,2.86,35,2.2,36.76,148,178,campuran,makanan ringan
Macaroon,72.2,3.6,404,12.7,1690,11.24,0,1.8,70.65,247,156,campuran,makanan ringan
Tiramisu,24.41,4.77,283,18.2,1184,10.53,167,0.9,16.82,85,129,campuran,makanan ringan
Wafel Buah,44.8,6.4,278,8.24,1163,1.68,12,2.6,6.1,616,137,campuran,makanan energi
Mochi Daifuku,49.8,4.83,230,1.13,962,0.23,0,2.5,7.34,247,198,campuran,makanan ringan
Martabak,40.6,8.15,315,14.65,1319,6.01,72,2.2,22.11,244,199,campuran,makanan energi
Kolak,20.35,2.01,163,8.83,682,7.8,0,2.8,11.95,51,219,nabati,makanan energi
Tape Singkong,39.9,2.27,175,0.5,733,0.13,0,1.5,0.85,7,152,nabati,makanan low-fat
Piscok,37.27,5.72,298,14.29,1247,3.73,38,2.2,14.98,193,240,nabati,makanan ringan
Dadar Gulung,28.59,4.7,231,11.31,968,8.79,74,1.9,5.8,67,160,hewani,makanan pembentuk otot
Es Teler,25.88,2.12,177,8.18,740,6.28,4,1.6,18.74,155,204,nabati,makanan ringan
Es Buah,32.6,0.4,128,0,536,0,0,0,32.6,22,3,nabati,makanan ringan
Pancake Durian,27.91,3.27,200,8.71,838,4.5,61,1,7.93,61,138,nabati,makanan ringan
Churros,45.94,2.79,447,28.28,1870,7.72,7,0.7,25.19,144,30,nabati,makanan ringan
Bingka,39.32,5.2,272,10.68,1139,6.69,92,0.7,2.82,80,119,nabati,makanan ringan
Tape Ketan Hitam,34.78,3,164,1.05,687,0.11,0,1.3,2.64,8,36,nabati,makanan low-fat
Red Velvet Cake,46.81,6.81,367,17.18,1535,5.08,9.93,54,1.4,17.37,311,campuran,makanan ringan
Pais Pisang,28.71,1.9,155,4.22,647,3.52,0,1.5,7.96,67,217,campuran,makanan ringan
Brownies Pisang Coklat,38.48,4.4,287,14.07,1200,7.85,41,3.5,17.3,63,295,campuran,makanan ringan
Kue Bolu Coklat,54.68,8.25,297,6.05,1243,2.08,208,1.6,39.95,185,154,campuran,makanan ringan
Kue Selai Kacang,58.9,9.6,477,23.6,1996,4.49,1,1.8,31.83,415,167,campuran,makanan ringan
